n_coadd,offmoon_rms_mJy_per_beam
1,2.458920
2,1.324157
3,0.868620
4,0.654015
5,0.535436
6,0.449232
7,0.386426
8,0.340724
9,0.299861
10,0.268797
11,0.246445
