n_coadd,offsource_rms_mJy_per_beam
1,3.852973
2,3.695767
3,3.570116
4,3.451233
5,3.332919
6,3.238796
7,3.103121
8,3.008468
9,2.964479
10,2.941022
11,2.933378
12,2.908922
13,2.879751
14,2.863791
15,2.839100
16,2.812161
17,2.790296
18,2.761361
19,2.738250
20,2.710732
21,2.685850
22,2.663788
23,2.638957
24,2.617254
25,2.598514
26,2.576121
27,2.556108
28,2.534503
29,2.520952
30,2.499996
31,2.479481
32,2.458738
33,2.439446
34,2.424368
35,2.404769
36,2.387734
37,2.374300
38,2.360163
39,2.350894
