cycle,n,peak_jy_per_beam_min,peak_jy_per_beam_max,peak_jy_per_beam_std,peak_jy_per_beam_median,residual_peak_jy_per_beam_min,residual_peak_jy_per_beam_max,residual_peak_jy_per_beam_std,residual_peak_jy_per_beam_median,model_sum_jy_min,model_sum_jy_max,model_sum_jy_std,model_sum_jy_median,dr_peak_over_residual_min,dr_peak_over_residual_max,dr_peak_over_residual_std,dr_peak_over_residual_median
sc1,39,19.62677001953125,22.041118621826172,0.6478913083656399,20.673288345336914,0.19346366822719574,0.28679952025413513,0.02308597668116898,0.21557049453258514,23.28728425502777,25.618209958076477,0.5595536218852512,24.36180159635842,68.79000020263119,113.92898120768595,11.22819571352038,94.660736449884
sc2,39,19.914979934692383,22.12001609802246,0.5962733543849238,20.86798095703125,0.07277087867259979,0.08931995183229446,0.004490345098896442,0.07943973690271378,23.274268927052617,25.856875395402312,0.6102551582358196,24.571937460452318,225.29141420220563,300.94138338734007,20.57912935741131,261.8352739081442
sc3,39,19.951034545898438,22.1395320892334,0.5866691692698985,20.907018661499023,0.03703939542174339,0.043363478034734726,0.0017624518206439527,0.04098004847764969,22.660040685907006,25.47299858974293,0.6396162905785032,23.836020421702415,465.33845267667186,584.7401210558071,34.391758223608036,500.48516453042595
sc4,39,19.95614242553711,22.116945266723633,0.5802404887239162,20.91741180419922,0.011383474804461002,0.01371324434876442,0.0007131256108349888,0.01232130080461502,20.88742635573726,23.35700055467896,0.6224169445064457,22.05398483283352,1465.9872402998978,1905.899633079565,128.63976364192126,1701.39316711182
final,39,19.967132568359375,22.117979049682617,0.5771724325458568,20.925758361816406,0.006638001184910536,0.008441769517958164,0.0005289713242183508,0.007053672336041927,19.925242036464624,22.438327900483273,0.6346174055452808,21.152767625520937,2409.227578055835,3207.337651963268,242.22748209449293,2922.7342428986462
