run_id,selfcal_dir,selfcal_name,label,scan_tag,start_integration,n_integrations,cycle,cycle_index,requested_niter,iterdone,nmajordone,stopcode,stack_elapsed_s,cycle_elapsed_s,tclean_elapsed_s,gaincal_elapsed_s,applycal_elapsed_s,export_elapsed_s,peak_jy_per_beam,residual_peak_jy_per_beam,model_sum_jy,dr_peak_over_residual,nminor_cycles_total,nmajor_cycles_used
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0168,scan06,168,1,sc1,1.0,300.0,300.0,9.0,1.0,96.82327616598923,2.557163290970493,2.2296997500234284,0.11056529101915658,0.06633166602114215,0.03875416598748416,19.728939056396484,0.28679952025413513,25.215451719239354,68.79000020263119,300.0,9.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0168,scan06,168,1,sc2,2.0,1000.0,1000.0,24.0,1.0,96.82327616598923,5.986906917009037,5.702637874986976,0.10380983405048028,0.048853166052140296,0.026462000038009137,20.123018264770508,0.08931995183229446,23.736089067533612,225.29141420220563,1000.0,24.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0168,scan06,168,1,sc3,3.0,2000.0,2000.0,44.0,1.0,96.82327616598923,10.52281833300367,10.23136545799207,0.10389504098566249,0.049381916993297637,0.030886166961863637,20.178693771362305,0.043363478034734726,23.191297407262027,465.33845267667186,2000.0,44.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0168,scan06,168,1,sc4,4.0,6000.0,6000.0,124.0,1.0,96.82327616598923,29.563173083995935,29.266535333008505,0.1065666249487549,0.05756912496872246,0.026365500001702458,20.187801361083984,0.013544732704758644,21.213283854536712,1490.4540237985977,6000.0,124.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0168,scan06,168,1,final,5.0,10000.0,10000.0,204.0,1.0,96.82327616598923,48.08806120901136,47.96213837497635,nan,nan,0.022219250036869198,20.208492279052734,0.00808047130703926,20.025080588296987,2500.9051466401734,10000.0,204.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0169,scan06,169,1,sc1,1.0,300.0,300.0,10.0,1.0,97.9385304999887,2.713162583007943,2.409094125032425,0.11069812503410503,0.06450041598873213,0.020422832982148975,19.68859100341797,0.27666446566581726,24.962457114830613,71.16414808109039,300.0,10.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0169,scan06,169,1,sc2,2.0,1000.0,1000.0,24.0,1.0,97.9385304999887,6.072241791989654,5.782796541054267,0.10048500000266358,0.0497157089994289,0.025709417008329183,20.020587921142578,0.0873752236366272,23.827927380800247,229.13346699292524,1000.0,24.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0169,scan06,169,1,sc3,3.0,2000.0,2000.0,44.0,1.0,97.9385304999887,10.905656290997285,10.606932082970161,0.10714962496422231,0.04937208304181695,0.026460958004463464,20.085424423217773,0.042657431215047836,23.09648939082399,470.8540540559423,2000.0,44.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0169,scan06,169,1,sc4,4.0,6000.0,6000.0,124.0,1.0,97.9385304999887,29.777232124994043,29.459269166982267,0.1120237089926377,0.059806125005707145,0.03188550000777468,20.10344123840332,0.01371324434876442,21.270967595744878,1465.9872402998978,6000.0,124.0
20260522_103607_p78725_r14090,/Users/raj030/DATA/gmrt_40_014/work/casa_selfcal/3c468.1_scan06_stk1,3c468.1_scan06_stk1,3c468p1_int0169,scan06,169,1,final,5.0,10000.0,10000.0,204.0,1.0,97.9385304999887,48.36169754201546,48.22884837503079,nan,nan,0.024596332979854196,20.109098434448242,0.008174058981239796,20.208499413798563,2460.111736482504,10000.0,204.0
