cycle,n,peak_jy_per_beam_min,peak_jy_per_beam_max,peak_jy_per_beam_std,peak_jy_per_beam_median,residual_peak_jy_per_beam_min,residual_peak_jy_per_beam_max,residual_peak_jy_per_beam_std,residual_peak_jy_per_beam_median,model_sum_jy_min,model_sum_jy_max,model_sum_jy_std,model_sum_jy_median,dr_peak_over_residual_min,dr_peak_over_residual_max,dr_peak_over_residual_std,dr_peak_over_residual_median
sc1,38,18.09611701965332,21.672264099121094,1.0702356552369043,19.78140926361084,0.17165429890155792,0.26844921708106995,0.01943518242055463,0.2014189213514328,22.10351360589266,24.71812092140317,0.5558718053363594,23.111054264009,79.86821351291972,112.16078934039163,8.569742096149154,98.8742809868103
sc2,38,17.967443466186523,21.68156623840332,1.1348491194677837,19.771080017089844,0.068643718957901,0.11786042898893356,0.012277234432123673,0.07656987756490707,22.533124978654087,26.39357845671475,0.7294335086390842,23.705460008932278,157.4754930460342,304.01217730552804,39.67441671631377,254.56862042815396
sc3,38,17.9290828704834,21.693204879760742,1.1508390453988935,19.777594566345215,0.036348626017570496,0.07689633220434189,0.01037644526703872,0.04167816415429115,20.731296572368592,26.00792558118701,0.9077349497211448,23.284212067024782,240.95231061857206,574.2518108567364,95.77341367202682,474.5892494269725
sc4,38,17.895435333251953,21.678625106811523,1.1569566601021384,19.79256534576416,0.011486933566629887,0.032318729907274246,0.005644027061082221,0.014099168591201305,15.635203835554421,25.47639731527306,1.6993424368784238,21.7964356385055,572.2648476576489,1815.7104258382985,398.74869975565446,1466.0992915095717
final,38,17.852157592773438,21.679115295410156,1.1594324619394805,19.792092323303223,0.006625608541071415,0.02091139741241932,0.0037775020161370213,0.008195430971682072,13.43830546317622,25.1819551345543,2.0467718380403137,21.288914427364944,884.8381613830076,3156.843550814118,739.1071491259985,2477.0471551148485
